Passage,Question,AnsText
"এ সময় সাখাওয়াত হোসেন অসুস্থ হয়ে পড়েন। তিনি ভেবেছিলেন, হঠাৎ মারা গেলে রোকেয়া খুব একা হয়ে যাবে। এজন্য তিনি একটি বালিকা বিদ্যালয় প্রতিষ্ঠার কথা ভেবেছিলেন। নিজের সঞ্চয় থেকে তিনি বিদ্যালয় প্রতিষ্ঠার জন্য দশ হাজার টাকা আলাদা করে রাখেন। এরপরই, ১৯০৯ সালের ৩ মে তিনি মারা যান। স্বামীর মৃত্যুর পাঁচ মাস পর রোকেয়া ভাগলপুরে 'সাখাওয়াত মেমোরিয়াল স্কুল' প্রতিষ্ঠা করেন। শুরুতে ছাত্র ছিল মাত্র পাঁচজন। কিছু পারিবারিক সমস্যার কারণে তাকে ভাগলপুর ছেড়ে কলকাতায় চলে যেতে হয়েছিল। আর সেখানে ১৩ নম্বর ওয়ালীউল্লাহ লেনে ১৯১১ সালের ১৬ মার্চ বেগম রোকেয়ার হাতে স্থায়ীভাবে প্রতিষ্ঠিত হয় সাখাওয়াত মেমোরিয়াল গার্লস স্কুল। মাত্র আটজন ছাত্রী দিয়ে শুরু হলেও ধীরে ধীরে সংখ্যা বাড়তে থাকে।",রোকেয়ার স্কুলে ছাত্রীর সংখ্যা কেমন?,আটজন
"এ সময় সাখাওয়াত হোসেন অসুস্থ হয়ে পড়েন। তিনি ভেবেছিলেন, হঠাৎ মারা গেলে রোকেয়া খুব একা হয়ে যাবে। এজন্য তিনি একটি বালিকা বিদ্যালয় প্রতিষ্ঠার কথা ভেবেছিলেন। নিজের সঞ্চয় থেকে তিনি বিদ্যালয় প্রতিষ্ঠার জন্য দশ হাজার টাকা আলাদা করে রাখেন। এরপরই, ১৯০৯ সালের ৩ মে তিনি মারা যান। স্বামীর মৃত্যুর পাঁচ মাস পর রোকেয়া ভাগলপুরে 'সাখাওয়াত মেমোরিয়াল স্কুল' প্রতিষ্ঠা করেন। শুরুতে ছাত্র ছিল মাত্র পাঁচজন। কিছু পারিবারিক সমস্যার কারণে তাকে ভাগলপুর ছেড়ে কলকাতায় চলে যেতে হয়েছিল। আর সেখানে ১৩ নম্বর ওয়ালীউল্লাহ লেনে ১৯১১ সালের ১৬ মার্চ বেগম রোকেয়ার হাতে স্থায়ীভাবে প্রতিষ্ঠিত হয় সাখাওয়াত মেমোরিয়াল গার্লস স্কুল। মাত্র আটজন ছাত্রী দিয়ে শুরু হলেও ধীরে ধীরে সংখ্যা বাড়তে থাকে।",কোন বছরে সাখাওয়াত মেমোরিয়াল গার্লস স্কুল প্রতিষ্ঠিত হয়?,১৯১১ সালে
"রোকেয়ার কোনো প্রাতিষ্ঠানিক ডিগ্রি ছিল না। তা সত্ত্বেও, তিনি সমস্ত প্রশাসনিক এবং একাডেমিক কাজ ত্রুটিহীনভাবে করেছেন। তিনি বলেন, 'শুধু বইয়ের ওপর ভিত্তি করে লেখাপড়া নয়, আমাদের মূল উদ্দেশ্য হচ্ছে মেয়েদের অন্যের সেবা করতে, জাতির সেবা করতে এবং সমাজের সেবায় জীবন উৎসর্গ করতে উদ্বুদ্ধ করা।' রোকেয়া স্কুল পরিচালনার পাশাপাশি তার সাহিত্যকর্মও চালিয়ে যান। তিনি কবিতা, ছোট গল্প, উপন্যাস এবং প্রবন্ধ লিখেছেন। সত্য ও ন্যায় তার লেখার প্রধান বিষয় ছিল। তার প্রবন্ধগুলিতে, তিনি নির্ভয়ে এবং নির্ভয়ে সমাজে মহিলাদের উপর চাপিয়ে দেওয়া অন্যায় ও নিষ্ঠুরতার সমালোচনা করেছেন।",রোকেয়ার প্রধান উদ্দেশ্য কী?,সেবা করা
"রোকেয়ার কোনো প্রাতিষ্ঠানিক ডিগ্রি ছিল না। তা সত্ত্বেও, তিনি সমস্ত প্রশাসনিক এবং একাডেমিক কাজ ত্রুটিহীনভাবে করেছেন। তিনি বলেন, 'শুধু বইয়ের ওপর ভিত্তি করে লেখাপড়া নয়, আমাদের মূল উদ্দেশ্য হচ্ছে মেয়েদের অন্যের সেবা করতে, জাতির সেবা করতে এবং সমাজের সেবায় জীবন উৎসর্গ করতে উদ্বুদ্ধ করা।' রোকেয়া স্কুল পরিচালনার পাশাপাশি তার সাহিত্যকর্মও চালিয়ে যান। তিনি কবিতা, ছোট গল্প, উপন্যাস এবং প্রবন্ধ লিখেছেন। সত্য ও ন্যায় তার লেখার প্রধান বিষয় ছিল। তার প্রবন্ধগুলিতে, তিনি নির্ভয়ে এবং নির্ভয়ে সমাজে মহিলাদের উপর চাপিয়ে দেওয়া অন্যায় ও নিষ্ঠুরতার সমালোচনা করেছেন।",রোকেয়া কোন ধরনের কাজ করেছেন?,প্রশাসনিক এবং একাডেমিক
"রোকেয়ার কোনো প্রাতিষ্ঠানিক ডিগ্রি ছিল না। তা সত্ত্বেও, তিনি সমস্ত প্রশাসনিক এবং একাডেমিক কাজ ত্রুটিহীনভাবে করেছেন। তিনি বলেন, 'শুধু বইয়ের ওপর ভিত্তি করে লেখাপড়া নয়, আমাদের মূল উদ্দেশ্য হচ্ছে মেয়েদের অন্যের সেবা করতে, জাতির সেবা করতে এবং সমাজের সেবায় জীবন উৎসর্গ করতে উদ্বুদ্ধ করা।' রোকেয়া স্কুল পরিচালনার পাশাপাশি তার সাহিত্যকর্মও চালিয়ে যান। তিনি কবিতা, ছোট গল্প, উপন্যাস এবং প্রবন্ধ লিখেছেন। সত্য ও ন্যায় তার লেখার প্রধান বিষয় ছিল। তার প্রবন্ধগুলিতে, তিনি নির্ভয়ে এবং নির্ভয়ে সমাজে মহিলাদের উপর চাপিয়ে দেওয়া অন্যায় ও নিষ্ঠুরতার সমালোচনা করেছেন।",রোকেয়ার প্রধান  প্রধান লেখার বিষয় কী ছিল?,সত্য ও ন্যায়
"রোকেয়ার কোনো প্রাতিষ্ঠানিক ডিগ্রি ছিল না। তা সত্ত্বেও, তিনি সমস্ত প্রশাসনিক এবং একাডেমিক কাজ ত্রুটিহীনভাবে করেছেন। তিনি বলেন, 'শুধু বইয়ের ওপর ভিত্তি করে লেখাপড়া নয়, আমাদের মূল উদ্দেশ্য হচ্ছে মেয়েদের অন্যের সেবা করতে, জাতির সেবা করতে এবং সমাজের সেবায় জীবন উৎসর্গ করতে উদ্বুদ্ধ করা।' রোকেয়া স্কুল পরিচালনার পাশাপাশি তার সাহিত্যকর্মও চালিয়ে যান। তিনি কবিতা, ছোট গল্প, উপন্যাস এবং প্রবন্ধ লিখেছেন। সত্য ও ন্যায় তার লেখার প্রধান বিষয় ছিল। তার প্রবন্ধগুলিতে, তিনি নির্ভয়ে এবং নির্ভয়ে সমাজে মহিলাদের উপর চাপিয়ে দেওয়া অন্যায় ও নিষ্ঠুরতার সমালোচনা করেছেন।",রোকেয়া কোন ধরনের লেখা লিখেছেন?,"কবিতা, ছোট গল্প, উপন্যাস, প্রবন্ধ"
"রোকেয়ার কোনো প্রাতিষ্ঠানিক ডিগ্রি ছিল না। তা সত্ত্বেও, তিনি সমস্ত প্রশাসনিক এবং একাডেমিক কাজ ত্রুটিহীনভাবে করেছেন। তিনি বলেন, 'শুধু বইয়ের ওপর ভিত্তি করে লেখাপড়া নয়, আমাদের মূল উদ্দেশ্য হচ্ছে মেয়েদের অন্যের সেবা করতে, জাতির সেবা করতে এবং সমাজের সেবায় জীবন উৎসর্গ করতে উদ্বুদ্ধ করা।' রোকেয়া স্কুল পরিচালনার পাশাপাশি তার সাহিত্যকর্মও চালিয়ে যান। তিনি কবিতা, ছোট গল্প, উপন্যাস এবং প্রবন্ধ লিখেছেন। সত্য ও ন্যায় তার লেখার প্রধান বিষয় ছিল। তার প্রবন্ধগুলিতে, তিনি নির্ভয়ে এবং নির্ভয়ে সমাজে মহিলাদের উপর চাপিয়ে দেওয়া অন্যায় ও নিষ্ঠুরতার সমালোচনা করেছেন।",রোকেয়ার লেখায় কী বিষয় উল্লেখ করেছেন?,মহিলাদের উপর চাপিয়ে দেওয়া অন্যায় ও নিষ্ঠুরতা।
"916 সালে, রোকেয়া আঞ্জুমান-ই-খাওয়াতেন-ই-ইসলাম বা মুসলিম মহিলা সমিতি (মুসলিম মহিলা সমিতি) প্রতিষ্ঠা করেন। এই সমাজের উদ্দেশ্য ছিল সমাজ ও রাষ্ট্রে নারীর ভূমিকা প্রতিষ্ঠা করা। রোকেয়া তার জীবনে নারী শিক্ষাকে ব্রত হিসেবে নিয়েছিলেন। তার সাহিত্যকর্মেও তিনি এই দর্শন ও মূল্যবোধের পুনরাবৃত্তি করতে চেয়েছিলেন। তিনি তার লেখায় বারবার বলতে চেয়েছেন যে নারীদের জেগে উঠতে হবে, নইলে মুক্তি সম্ভব নয়। তার অন্য আদর্শ ছিল সততা। তিনি বললেন, 'সত্য, তুমি পছন্দ কর বা না কর, আমাদের তা বোঝা উচিত, অনুসন্ধান করা এবং মেনে নেওয়া উচিত।'",রোকেয়া কোন সামাজিক সংগঠন প্রতিষ্ঠা করেন?,মুসলিম মহিলা সমিতি
"916 সালে, রোকেয়া আঞ্জুমান-ই-খাওয়াতেন-ই-ইসলাম বা মুসলিম মহিলা সমিতি (মুসলিম মহিলা সমিতি) প্রতিষ্ঠা করেন। এই সমাজের উদ্দেশ্য ছিল সমাজ ও রাষ্ট্রে নারীর ভূমিকা প্রতিষ্ঠা করা। রোকেয়া তার জীবনে নারী শিক্ষাকে ব্রত হিসেবে নিয়েছিলেন। তার সাহিত্যকর্মেও তিনি এই দর্শন ও মূল্যবোধের পুনরাবৃত্তি করতে চেয়েছিলেন। তিনি তার লেখায় বারবার বলতে চেয়েছেন যে নারীদের জেগে উঠতে হবে, নইলে মুক্তি সম্ভব নয়। তার অন্য আদর্শ ছিল সততা। তিনি বললেন, 'সত্য, তুমি পছন্দ কর বা না কর, আমাদের তা বোঝা উচিত, অনুসন্ধান করা এবং মেনে নেওয়া উচিত।'",রোকেয়ার উদ্দেশ্য কী,মাজ ও রাষ্ট্রে নারীর ভূমিকা প্রতিষ্ঠা করা
"916 সালে, রোকেয়া আঞ্জুমান-ই-খাওয়াতেন-ই-ইসলাম বা মুসলিম মহিলা সমিতি (মুসলিম মহিলা সমিতি) প্রতিষ্ঠা করেন। এই সমাজের উদ্দেশ্য ছিল সমাজ ও রাষ্ট্রে নারীর ভূমিকা প্রতিষ্ঠা করা। রোকেয়া তার জীবনে নারী শিক্ষাকে ব্রত হিসেবে নিয়েছিলেন। তার সাহিত্যকর্মেও তিনি এই দর্শন ও মূল্যবোধের পুনরাবৃত্তি করতে চেয়েছিলেন। তিনি তার লেখায় বারবার বলতে চেয়েছেন যে নারীদের জেগে উঠতে হবে, নইলে মুক্তি সম্ভব নয়। তার অন্য আদর্শ ছিল সততা। তিনি বললেন, 'সত্য, তুমি পছন্দ কর বা না কর, আমাদের তা বোঝা উচিত, অনুসন্ধান করা এবং মেনে নেওয়া উচিত।'",রোকেয়ার ব্রত হিসেবে কোন বিষয়কে নিয়েছিলেন?,নারী শিক্ষা
"916 সালে, রোকেয়া আঞ্জুমান-ই-খাওয়াতেন-ই-ইসলাম বা মুসলিম মহিলা সমিতি (মুসলিম মহিলা সমিতি) প্রতিষ্ঠা করেন। এই সমাজের উদ্দেশ্য ছিল সমাজ ও রাষ্ট্রে নারীর ভূমিকা প্রতিষ্ঠা করা। রোকেয়া তার জীবনে নারী শিক্ষাকে ব্রত হিসেবে নিয়েছিলেন। তার সাহিত্যকর্মেও তিনি এই দর্শন ও মূল্যবোধের পুনরাবৃত্তি করতে চেয়েছিলেন। তিনি তার লেখায় বারবার বলতে চেয়েছেন যে নারীদের জেগে উঠতে হবে, নইলে মুক্তি সম্ভব নয়। তার অন্য আদর্শ ছিল সততা। তিনি বললেন, 'সত্য, তুমি পছন্দ কর বা না কর, আমাদের তা বোঝা উচিত, অনুসন্ধান করা এবং মেনে নেওয়া উচিত।'",রোকেয়ার লেখার মূল্যবোধ কী ছিল?,সত্য ও ন্যায়
"916 সালে, রোকেয়া আঞ্জুমান-ই-খাওয়াতেন-ই-ইসলাম বা মুসলিম মহিলা সমিতি (মুসলিম মহিলা সমিতি) প্রতিষ্ঠা করেন। এই সমাজের উদ্দেশ্য ছিল সমাজ ও রাষ্ট্রে নারীর ভূমিকা প্রতিষ্ঠা করা। রোকেয়া তার জীবনে নারী শিক্ষাকে ব্রত হিসেবে নিয়েছিলেন। তার সাহিত্যকর্মেও তিনি এই দর্শন ও মূল্যবোধের পুনরাবৃত্তি করতে চেয়েছিলেন। তিনি তার লেখায় বারবার বলতে চেয়েছেন যে নারীদের জেগে উঠতে হবে, নইলে মুক্তি সম্ভব নয়। তার অন্য আদর্শ ছিল সততা। তিনি বললেন, 'সত্য, তুমি পছন্দ কর বা না কর, আমাদের তা বোঝা উচিত, অনুসন্ধান করা এবং মেনে নেওয়া উচিত।'",রোকেয়া কোন বৈশিষ্ট্যটি অনুসরণ করতে বলেছিলেন?,সততা
"এটি ছিল 1932 সালের 9 ডিসেম্বর। এটি ছিল তার 52 তম জন্মদিন। খুব ভোরে ঘুম থেকে উঠে অজু করে। হঠাৎ বুকে ব্যথা অনুভব করেন। খুব অল্প সময়ের মধ্যে এটি খারাপ হয়ে যায় এবং তিনি মারা যান। রোকেয়া আর আমাদের মধ্যে নেই, তবে তিনি সমাজে নারীর বিকাশকে ঘিরে মূল্যবোধ, বিশ্বাস এবং তার গৌরবময় উত্তরাধিকার রেখে গেছেন। নারীর উন্নয়নের জন্য প্রয়োজন আত্মমর্যাদা, দৃঢ় সংকল্প, জ্ঞান ও অধ্যবসায়। একমাত্র শিক্ষাই পারে এমন অর্জন বয়ে আনতে।",রোকেয়ার মৃত্যুর তারিখ কবে ছিল?,9 ডিসেম্বর 1932
"এটি ছিল 1932 সালের 9 ডিসেম্বর। এটি ছিল তার 52 তম জন্মদিন। খুব ভোরে ঘুম থেকে উঠে অজু করে। হঠাৎ বুকে ব্যথা অনুভব করেন। খুব অল্প সময়ের মধ্যে এটি খারাপ হয়ে যায় এবং তিনি মারা যান। রোকেয়া আর আমাদের মধ্যে নেই, তবে তিনি সমাজে নারীর বিকাশকে ঘিরে মূল্যবোধ, বিশ্বাস এবং তার গৌরবময় উত্তরাধিকার রেখে গেছেন। নারীর উন্নয়নের জন্য প্রয়োজন আত্মমর্যাদা, দৃঢ় সংকল্প, জ্ঞান ও অধ্যবসায়। একমাত্র শিক্ষাই পারে এমন অর্জন বয়ে আনতে।",নারীর উন্নয়নের জন্য রোকেয়ার অনুসন্ধান করা গুরুত্বপূর্ণ বিষয় কী?,শিক্ষা
"ব্রিটেনের স্কিলিংটন গ্রামের একটি স্কুলে গ্রেড টু-এর শেষ ছেলে ছিল সে। শিক্ষকরা ইতিমধ্যেই তাকে বুদ্ধিহীন ও বুদ্ধিহীন বলে চিহ্নিত করেছেন। সহপাঠীরা তাকে নিয়ে মজা করত। যাইহোক, বড় হওয়ার পরে, এই ছেলেটি তার অসাধারণ আবিষ্কার দিয়ে বিশ্বের সমস্ত বিশিষ্ট বিজ্ঞানীদের চমকে দিয়েছে। তারা তাকে শিক্ষক হিসেবে বিবেচনা করতে শুরু করে। তাকে ব্রিটিশ পার্লামেন্টের সদস্য করা হয়। রাজা তাকে নাইট উপাধিতে ভূষিত করেন এবং তাকে স্যার উপাধি দেওয়া হয়। রয়্যাল সোসাইটি, যা সমস্ত বিশেষজ্ঞদের প্রতিষ্ঠান ছিল, তাকে তাদের সভাপতি নির্বাচিত করেছিল। তার নাম ছিল আইজ্যাক নিউটন।",আইজ্যাক নিউটন কোন গ্রামের ছেলে ছিলেন?,স্কিলিংটন
"ব্রিটেনের স্কিলিংটন গ্রামের একটি স্কুলে গ্রেড টু-এর শেষ ছেলে ছিল সে। শিক্ষকরা ইতিমধ্যেই তাকে বুদ্ধিহীন ও বুদ্ধিহীন বলে চিহ্নিত করেছেন। সহপাঠীরা তাকে নিয়ে মজা করত। যাইহোক, বড় হওয়ার পরে, এই ছেলেটি তার অসাধারণ আবিষ্কার দিয়ে বিশ্বের সমস্ত বিশিষ্ট বিজ্ঞানীদের চমকে দিয়েছে। তারা তাকে শিক্ষক হিসেবে বিবেচনা করতে শুরু করে। তাকে ব্রিটিশ পার্লামেন্টের সদস্য করা হয়। রাজা তাকে নাইট উপাধিতে ভূষিত করেন এবং তাকে স্যার উপাধি দেওয়া হয়। রয়্যাল সোসাইটি, যা সমস্ত বিশেষজ্ঞদের প্রতিষ্ঠান ছিল, তাকে তাদের সভাপতি নির্বাচিত করেছিল। তার নাম ছিল আইজ্যাক নিউটন।",আইজ্যাক নিউটনকে কী উপাধি দেওয়া হয়েছিল?,স্যার
"ব্রিটেনের স্কিলিংটন গ্রামের একটি স্কুলে গ্রেড টু-এর শেষ ছেলে ছিল সে। শিক্ষকরা ইতিমধ্যেই তাকে বুদ্ধিহীন ও বুদ্ধিহীন বলে চিহ্নিত করেছেন। সহপাঠীরা তাকে নিয়ে মজা করত। যাইহোক, বড় হওয়ার পরে, এই ছেলেটি তার অসাধারণ আবিষ্কার দিয়ে বিশ্বের সমস্ত বিশিষ্ট বিজ্ঞানীদের চমকে দিয়েছে। তারা তাকে শিক্ষক হিসেবে বিবেচনা করতে শুরু করে। তাকে ব্রিটিশ পার্লামেন্টের সদস্য করা হয়। রাজা তাকে নাইট উপাধিতে ভূষিত করেন এবং তাকে স্যার উপাধি দেওয়া হয়। রয়্যাল সোসাইটি, যা সমস্ত বিশেষজ্ঞদের প্রতিষ্ঠান ছিল, তাকে তাদের সভাপতি নির্বাচিত করেছিল। তার নাম ছিল আইজ্যাক নিউটন।",রাজা তাকে কী উপাধি দিয়েছিলেন?,নাইট
"ব্রিটেনের স্কিলিংটন গ্রামের একটি স্কুলে গ্রেড টু-এর শেষ ছেলে ছিল সে। শিক্ষকরা ইতিমধ্যেই তাকে বুদ্ধিহীন ও বুদ্ধিহীন বলে চিহ্নিত করেছেন। সহপাঠীরা তাকে নিয়ে মজা করত। যাইহোক, বড় হওয়ার পরে, এই ছেলেটি তার অসাধারণ আবিষ্কার দিয়ে বিশ্বের সমস্ত বিশিষ্ট বিজ্ঞানীদের চমকে দিয়েছে। তারা তাকে শিক্ষক হিসেবে বিবেচনা করতে শুরু করে। তাকে ব্রিটিশ পার্লামেন্টের সদস্য করা হয়। রাজা তাকে নাইট উপাধিতে ভূষিত করেন এবং তাকে স্যার উপাধি দেওয়া হয়। রয়্যাল সোসাইটি, যা সমস্ত বিশেষজ্ঞদের প্রতিষ্ঠান ছিল, তাকে তাদের সভাপতি নির্বাচিত করেছিল। তার নাম ছিল আইজ্যাক নিউটন।",আইজ্যাক নিউটনকে রয়্যাল সোসাইটি কী নির্বাচিত করেছিল?,সভাপতি
"নিউটন 1642 সালের 25 ডিসেম্বর জন্মগ্রহণ করেন। তার পিতা যিনি একজন কৃষক ছিলেন, তার জন্মের আগেই মারা যান। শৈশবে গ্রামের স্কুলে লেখাপড়া করেছেন। কিন্তু পড়াশুনার পরিবর্তে, তিনি সূর্যালোক, জল ঘড়ি এবং অন্যান্য সরঞ্জাম এবং গ্যাজেটগুলিতে বেশি আগ্রহী ছিলেন।",নিউটন কোন বছরে জন্মগ্রহণ করেন?,1642
"নিউটন 1642 সালের 25 ডিসেম্বর জন্মগ্রহণ করেন। তার পিতা যিনি একজন কৃষক ছিলেন, তার জন্মের আগেই মারা যান। শৈশবে গ্রামের স্কুলে লেখাপড়া করেছেন। কিন্তু পড়াশুনার পরিবর্তে, তিনি সূর্যালোক, জল ঘড়ি এবং অন্যান্য সরঞ্জাম এবং গ্যাজেটগুলিতে বেশি আগ্রহী ছিলেন।",নিউটনের পিতা কী ধরনের কাজ করতেন?,কৃষক
"নিউটন 1642 সালের 25 ডিসেম্বর জন্মগ্রহণ করেন। তার পিতা যিনি একজন কৃষক ছিলেন, তার জন্মের আগেই মারা যান। শৈশবে গ্রামের স্কুলে লেখাপড়া করেছেন। কিন্তু পড়াশুনার পরিবর্তে, তিনি সূর্যালোক, জল ঘড়ি এবং অন্যান্য সরঞ্জাম এবং গ্যাজেটগুলিতে বেশি আগ্রহী ছিলেন।",নিউটনের পিতা কবে মারা গেছেন?,তার জন্মের আগেই
"তার বয়স যখন ষোল, তখন ব্রিটেনে এক ভয়ানক ঝড় আঘাত হানে। বাতাসটা কতটা জোরালো আর বন্য ছিল! ব্রিটেনের ইতিহাসে এরকম হিংসাত্মক ঝড় এত বেশি ঘটেনি। সেই সময় নিউটন বায়ুর শক্তি পরিমাপ করতে খুব বেশি ব্যস্ত ছিলেন। ঝড় যখন চরমে, তখন সে ঘর থেকে বেরিয়ে এল। তিনি বাতাসের দিক অনুসরণ করে লাফ দিয়ে স্পট চিহ্নিত করলেন। তারপর তিনি বাতাসের বিরুদ্ধে ঝাঁপিয়ে পড়লেন এবং স্থানটিকে চিহ্নিত করলেন। প্রতিবেশীরা তাদের ঘরের জানালা দিয়ে তার পাগলামি লক্ষ্য করে।",ব্রিটেনে নিউটন কী পরিমাপ করতে ব্যস্ত ছিলেন?,বায়ুর শক্তি
"তার বয়স যখন ষোল, তখন ব্রিটেনে এক ভয়ানক ঝড় আঘাত হানে। বাতাসটা কতটা জোরালো আর বন্য ছিল! ব্রিটেনের ইতিহাসে এরকম হিংসাত্মক ঝড় এত বেশি ঘটেনি। সেই সময় নিউটন বায়ুর শক্তি পরিমাপ করতে খুব বেশি ব্যস্ত ছিলেন। ঝড় যখন চরমে, তখন সে ঘর থেকে বেরিয়ে এল। তিনি বাতাসের দিক অনুসরণ করে লাফ দিয়ে স্পট চিহ্নিত করলেন। তারপর তিনি বাতাসের বিরুদ্ধে ঝাঁপিয়ে পড়লেন এবং স্থানটিকে চিহ্নিত করলেন। প্রতিবেশীরা তাদের ঘরের জানালা দিয়ে তার পাগলামি লক্ষ্য করে।",নিউটন কিভাবে বাতাসের দিক অনুসরণ করে স্পট চিহ্নিত করলেন?,লাফ দিয়ে
"তার বয়স যখন ষোল, তখন ব্রিটেনে এক ভয়ানক ঝড় আঘাত হানে। বাতাসটা কতটা জোরালো আর বন্য ছিল! ব্রিটেনের ইতিহাসে এরকম হিংসাত্মক ঝড় এত বেশি ঘটেনি। সেই সময় নিউটন বায়ুর শক্তি পরিমাপ করতে খুব বেশি ব্যস্ত ছিলেন। ঝড় যখন চরমে, তখন সে ঘর থেকে বেরিয়ে এল। তিনি বাতাসের দিক অনুসরণ করে লাফ দিয়ে স্পট চিহ্নিত করলেন। তারপর তিনি বাতাসের বিরুদ্ধে ঝাঁপিয়ে পড়লেন এবং স্থানটিকে চিহ্নিত করলেন। প্রতিবেশীরা তাদের ঘরের জানালা দিয়ে তার পাগলামি লক্ষ্য করে।",নিউটন কী জন্য বাতাসের বিরুদ্ধে ঝাঁপিয়ে পড়লেন?,স্থানটিকে চিহ্নিত করে
"তার বয়স যখন ষোল, তখন ব্রিটেনে এক ভয়ানক ঝড় আঘাত হানে। বাতাসটা কতটা জোরালো আর বন্য ছিল! ব্রিটেনের ইতিহাসে এরকম হিংসাত্মক ঝড় এত বেশি ঘটেনি। সেই সময় নিউটন বায়ুর শক্তি পরিমাপ করতে খুব বেশি ব্যস্ত ছিলেন। ঝড় যখন চরমে, তখন সে ঘর থেকে বেরিয়ে এল। তিনি বাতাসের দিক অনুসরণ করে লাফ দিয়ে স্পট চিহ্নিত করলেন। তারপর তিনি বাতাসের বিরুদ্ধে ঝাঁপিয়ে পড়লেন এবং স্থানটিকে চিহ্নিত করলেন। প্রতিবেশীরা তাদের ঘরের জানালা দিয়ে তার পাগলামি লক্ষ্য করে।",নিউটনের প্রতিবেশীরা কী লক্ষ্য করলেন?,তার পাগলামি
"তার সব আত্মীয়রা ভেবেছিল সে তার বাবার মতো কৃষক হবে। যাইহোক, সে বৈজ্ঞানিক বই পড়ার এবং অদ্ভুত পরীক্ষা-নিরীক্ষা করার প্রবল আগ্রহ তৈরি করেছিলেন। একবার তাকে বাজারে পাঠানো হয়েছিল ভেড়া, কয়েকটি ডিম এবং আরও কিছু জিনিস বিক্রি করতে। পরিবর্তে, তিনি তার পক্ষে জিনিসগুলি দেখতে অন্য একজনকে পাঠালেন এবং তিনি একটি গণিতের বইটি সম্পূর্ণরূপে বড় করার জন্য একটি ঝোপের আড়ালে বসেছিলেন।",নিউটন কি পড়ার জন্য প্রবল আগ্রহ তৈরি করেছিলেন?,বৈজ্ঞানিক বই
"পরিবারের সবাই ক্ষিপ্ত হয়ে ওঠে। এমন দায়িত্বজ্ঞানহীন যুবককে দিয়ে কী করা যায়, ভাবলেন সবাই। এমন অপ্রীতিকর পরিস্থিতি থেকে তাকে উদ্ধার করেন তার এক মামা। তিনি পরামর্শ দিলেন, 'ওকে কলেজে পাঠাও। সেখানে সে যত ইচ্ছা গণিত করতে পারে।' ফলে নিউটনকে কেমব্রিজে পাঠানো হয়।",মামার পরামর্শে নিউটনকে কী করা হয়েছিল?,কলেজে পাঠানো
"পরিবারের সবাই ক্ষিপ্ত হয়ে ওঠে। এমন দায়িত্বজ্ঞানহীন যুবককে দিয়ে কী করা যায়, ভাবলেন সবাই। এমন অপ্রীতিকর পরিস্থিতি থেকে তাকে উদ্ধার করেন তার এক মামা। তিনি পরামর্শ দিলেন, 'ওকে কলেজে পাঠাও। সেখানে সে যত ইচ্ছা গণিত করতে পারে।' ফলে নিউটনকে কেমব্রিজে পাঠানো হয়।",মার পরামর্শে নিউটনকে কোন বিষয়ে পড়া হয়েছিল?,গণিত
"পরিবারের সবাই ক্ষিপ্ত হয়ে ওঠে। এমন দায়িত্বজ্ঞানহীন যুবককে দিয়ে কী করা যায়, ভাবলেন সবাই। এমন অপ্রীতিকর পরিস্থিতি থেকে তাকে উদ্ধার করেন তার এক মামা। তিনি পরামর্শ দিলেন, 'ওকে কলেজে পাঠাও। সেখানে সে যত ইচ্ছা গণিত করতে পারে।' ফলে নিউটনকে কেমব্রিজে পাঠানো হয়।",কোন স্থানে নিউটনকে পাঠানো হয়েছিল?,কেমব্রিজে
"নিউটন সত্যিই কেমব্রিজে গণিতে পারদর্শী ছিলেন। কলেজের প্রথম বছরে, তিনি গণিতের একটি সম্পূর্ণ নতুন ধারণা, ক্যালকুলাস আবিষ্কার করেন। তিনি তার উপর একটি পূর্ণাঙ্গ কাগজ লিখেছিলেন, সমস্ত নথিপত্র রেখেছিলেন কিন্তু তিনি তা প্রকাশ করেননি। তার কলেজের প্রথম বর্ষে, তিনি এটিও আবিষ্কার করেছিলেন কেন চাঁদের চারপাশে ডিস্কের মতো বস্তুগুলি আলো নির্গত করে। তার মতে, বায়ুমণ্ডলে পানির অণুর ওপর আলোর প্রতিফলনের কারণেই এর সৃষ্টি হয়েছে।",গণিতের কোন ধারণাটি নিউটন আবিষ্কার করেছিলেন?,ক্যালকুলাস
"নিউটন সত্যিই কেমব্রিজে গণিতে পারদর্শী ছিলেন। কলেজের প্রথম বছরে, তিনি গণিতের একটি সম্পূর্ণ নতুন ধারণা, ক্যালকুলাস আবিষ্কার করেন। তিনি তার উপর একটি পূর্ণাঙ্গ কাগজ লিখেছিলেন, সমস্ত নথিপত্র রেখেছিলেন কিন্তু তিনি তা প্রকাশ করেননি। তার কলেজের প্রথম বর্ষে, তিনি এটিও আবিষ্কার করেছিলেন কেন চাঁদের চারপাশে ডিস্কের মতো বস্তুগুলি আলো নির্গত করে। তার মতে, বায়ুমণ্ডলে পানির অণুর ওপর আলোর প্রতিফলনের কারণেই এর সৃষ্টি হয়েছে।",নিউটন কোন বিষয়ে বিজ্ঞান আবিষ্কার করেছিলেন চাঁদের চারপাশে?,চাঁদের চারপাশে ডিস্কের মতো বস্তুগুলির আলো নির্গত করে
